Emp_ID;MMM.YY;Age;Salary;LastWorkingDate;Designation;Total.Business.Value;Quarterly.Rating;Gender;City;Education_Level;Dateofjoining;Joining.Designation
1;01.01.2016;28;57387,00 USD;;1;2381060;2;Male;C23;MASTER;24.12.2015;1
1;01.02.2016;28;57387,00 USD;;1;-665480;2;Male;C23;MASTER;24.12.2015;1
1;01.03.2016;28;57387,00 USD;11.03.2016;1;0;2;Male;C23;MASTER;24.12.2015;1
2;01.11.2017;31;67016,00 USD;;2;0;1;Male;C7;Master;06.11.2017;2
2;01.12.2017;31;67016,00 USD;;2;0;1;Male;C7;Master;06.11.2017;2
4;01.12.2016;43;65603,00 USD;;2;0;1;Male;C13;Master;07.12.2016;2
4;01.01.2017;43;65603,00 USD;;2;0;1;Male;C13;Master;07.12.2016;2
4;01.02.2017;43;65603,00 USD;;2;0;1;Male;C13;Master;07.12.2016;2
4;01.03.2017;43;65603,00 USD;;2;350000;1;Male;C13;Master;07.12.2016;2
4;01.04.2017;43;65603,00 USD;27.04.2017;2;0;1;Male;C13;Master;07.12.2016;2
5;01.01.2016;29;46368,00 USD;;1;0;1;Male;C9;Colege;09.01.2016;1
5;01.02.2016;29;46368,00 USD;;1;120360;1;Male;C9;Colege;09.01.2016;1
5;01.03.2016;29;46368,00 USD;07.03.2016;1;0;1;Male;C9;Colege;09.01.2016;1
6;01.08.2017;31;78728,00 USD;;3;0;1;Female;C11;Bachelor;31.07.2017;3
6;01.09.2017;31;78728,00 USD;;3;0;1;Female;C11;Bachelor;31.07.2017;3
6;01.10.2017;31;78728,00 USD;;3;0;2;Female;C11;Bachelor;31.07.2017;3
6;01.11.2017;31;78728,00 USD;;3;1265000;2;Female;C11;Bachelor;31.07.2017;3
6;01.12.2017;31;78728,00 USD;;3;0;2;Female;C11;Bachelor;31.07.2017;3
8;01.09.2017;34;70656,00 USD;;3;0;1;Male;C2;Colege;19.09.2017;3
8;01.10.2017;34;70656,00 USD;;3;0;1;Male;C2;Colege;19.09.2017;3
8;01.11.2017;34;70656,00 USD;15.11.2017;3;0;1;Male;C2;Colege;19.09.2017;3
11;01.12.2017;28;42172,00 USD;;1;0;1;Female;C19;Master;07.12.2017;1
12;01.07.2016;35;28116,00 USD;;1;500000;4;Male;C23;Master;29.06.2016;1
12;01.08.2016;35;28116,00 USD;;1;1707180;4;Male;C23;Master;29.06.2016;1
12;01.09.2016;35;28116,00 USD;;1;400000;4;Male;C23;Master;29.06.2016;1
12;01.10.2016;35;28116,00 USD;;1;0;1;Male;C23;Master;29.06.2016;1
12;01.11.2016;35;28116,00 USD;;1;0;1;Male;C23;Master;29.06.2016;1
12;01.12.2016;35;28116,00 USD;21.12.2016;1;0;1;Male;C23;Master;29.06.2016;1
13;01.01.2016;29;119227,00 USD;;4;250000;1;Male;C19;Master;28.05.2012;1
13;01.02.2016;29;119227,00 USD;;4;1719680;1;Male;C19;Master;28.05.2012;1
13;01.03.2016;29;119227,00 USD;;4;545240;1;Male;C19;Master;28.05.2012;1
13;01.04.2016;29;119227,00 USD;;4;250000;2;Male;C19;Master;28.05.2012;1
13;01.05.2016;29;119227,00 USD;;4;895510;2;Male;C19;Master;28.05.2012;1
13;01.06.2016;29;119227,00 USD;;4;0;2;Male;C19;Master;28.05.2012;1
13;01.07.2016;29;119227,00 USD;;4;350650;2;Male;C19;Master;28.05.2012;1
13;01.08.2016;29;119227,00 USD;;4;708360;2;Male;C19;Master;28.05.2012;1
13;01.09.2016;29;119227,00 USD;;4;1190290;2;Male;C19;Master;28.05.2012;1
13;01.10.2016;29;119227,00 USD;;4;0;1;Male;C19;Master;28.05.2012;1
13;01.11.2016;30;119227,00 USD;;4;200000;1;Male;C19;Master;28.05.2012;1
13;01.12.2016;30;119227,00 USD;;4;300000;1;Male;C19;Master;28.05.2012;1
